borough,neighborhood,address,residential_unit,commercial_unit,total_unit,land_sq_ft,gross_sq_ft,year_built,price,sale_date
3,Flatbush-Lefferts Garden,68 RUTLAND ROAD,1,0,1,2000,4056,1910,2627500,2/17/2017 0:00
3,Carroll Gardens,377 DE GRAW STREET,3,0,3,2000,3360,1899,2631800,9/16/2016 0:00
3,Flatbush-Lefferts Garden,174 FENIMORE STREET,0,1,1,6300,4960,1905,2635000,2/1/2017 0:00
3,Old Mill Basin,5702 AVENUE N,0,6,6,10000,15565,1964,2638000,3/15/2017 0:00
2,Mott Haven,147 BRUCKNER BOULEVARD,12,3,15,2500,11500,1925,2645000,4/6/2017 0:00
3,Boerum Hill,112 NEVINS STREET,1,0,1,859,874,1920,2645000,5/16/2017 0:00
2,Soundview,343 SOUNDVIEW AVENUE,0,2,2,12099,12099,1931,2649900,2/7/2017 0:00
4,Douglaston,310 SHORE ROAD,1,0,1,14772,3920,1920,2650000,12/22/2016 0:00
3,Brownsville,1690 EAST NEW YORK AVENUE,0,0,0,5752,0,0,2650000,1/24/2017 0:00
3,Madison,1662 EAST 28TH   STREET,1,0,1,5000,4000,1930,2650000,1/31/2017 0:00
3,Crown Heights,998 UNION STREET,2,0,2,4585,2500,1910,2650000,6/29/2017 0:00
2,Bedford Park,2691 MARION AVENUE,0,0,0,4187,0,0,2650000,11/10/2016 0:00
3,Borough Park,1514 49TH STREET,0,0,0,4007,0,0,2650000,9/6/2016 0:00
3,Williamsburg-South,194 SOUTH 2ND,4,0,4,3000,2640,1910,2650000,12/16/2016 0:00
1,Harlem,9 EAST 124TH STREET,6,0,6,2018,2994,1910,2150000,11/22/2016 0:00
3,Williamsburg-East,223 DEVOE STREET,6,0,6,2500,4125,1920,2650000,5/22/2017 0:00
3,Cobble Hill-West,146 SACKETT STREET,3,0,3,2200,2442,1899,2650000,7/18/2017 0:00
3,Park Slope,459 14TH   STREET,3,0,3,2000,2750,1901,2650000,3/31/2017 0:00
3,Park Slope,102 BERKELEY PLACE,8,0,8,2000,3360,1920,2650000,9/22/2016 0:00
1,Harlem,2052 MADISON AVENUE,4,0,4,1231,4140,1910,2165000,4/3/2017 0:00
3,Fort Greene,308 CLERMONT AVENUE,3,0,3,1467,3720,1930,2650000,9/12/2016 0:00
3,Park Slope South,421 10TH STREET,2,0,2,1360,1632,1901,2650000,8/22/2017 0:00
1,Harlem,213 WEST 131 STREET,2,0,2,1665,3460,1914,2175000,6/21/2017 0:00
1,Harlem,129 WEST 126TH STREET,3,0,3,2495,3335,2000,2200000,10/13/2016 0:00
4,Forest Hills,78 DARTMOUTH STREET,1,0,1,5520,3305,1925,2655000,8/18/2017 0:00
3,Park Slope,441 14TH STREET,2,0,2,2600,2480,1901,2670000,3/24/2017 0:00
2,Morrisania,827 HOME STREET,20,0,20,6934,16800,1910,2670472,5/24/2017 0:00
3,Boerum Hill,88 BERGEN STREET,3,1,4,1500,2880,1931,2673000,1/4/2017 0:00
3,Crown Heights,1081 DEAN STREET,2,0,2,1667,3570,2005,2674000,4/4/2017 0:00
3,Bedford Stuyvesant,173 CLASSON AVE,6,0,6,2315,4350,1905,2675000,2/1/2017 0:00
1,Harlem,114 EDGECOMBE AVENUE,1,0,1,1488,3951,1899,2200000,3/30/2017 0:00
3,Bedford Stuyvesant,241 MARCUS GARVEY BLVD,3,1,4,1573,4720,1931,2675000,2/22/2017 0:00
1,Harlem,102 WEST 118 STREET,4,0,4,1716,2550,1910,2298307,5/19/2017 0:00
3,Brooklyn Heights,31 MIDDAGH STREET,1,0,1,1020,1626,1847,2675000,6/22/2017 0:00
2,Melrose,180 EAST 156 STREET,0,2,2,15598,4250,1931,2680000,6/28/2017 0:00
1,Harlem,288 W. 137TH STREET,1,0,1,1549,3036,1910,2300000,11/30/2016 0:00
3,Flatbush-Central,1029 CORTELYOU ROAD,0,1,1,1020,855,1930,2685000,7/20/2017 0:00
4,Long Island City,5-02 54TH AVENUE,0,1,1,30104,7300,1940,2686500,9/23/2016 0:00
2,Morrisania,831 HOME STREET,20,0,20,6877,16800,1910,2690374,5/24/2017 0:00
3,Flatbush-Central,82 STRATFORD ROAD,1,0,1,5865,2939,1920,2695000,5/26/2017 0:00
3,Boerum Hill,287 BALTIC STREET,2,0,2,2500,2400,1920,2695000,11/4/2016 0:00
3,Fort Greene,287 CUMBERLAND STREET,3,0,3,1950,2560,1910,2695000,6/29/2017 0:00
3,Williamsburg-South,748 DRIGGS AVENUE,2,0,2,1505,2660,1920,2695000,7/14/2017 0:00
3,Clinton Hill,155 WILLOUGHBY AVE,1,0,1,1190,2520,1901,2695000,10/6/2016 0:00
3,Red Hook,121 KING ST,1,0,1,1683,0,2016,2698362,8/22/2017 0:00
3,Canarsie,1115 EAST 87TH   STREET,0,2,2,16200,16618,1961,2700000,12/28/2016 0:00
4,College Point,21-02 COLLEGE POINT BLVD,0,1,1,10042,3870,1929,2700000,6/30/2017 0:00
4,Astoria,18-31 42ND   STREET,0,2,2,10000,7180,1965,2700000,11/2/2016 0:00
3,Canarsie,10013 FOSTER AVENUE,0,2,2,10000,13930,1957,2700000,3/7/2017 0:00
3,Ocean Parkway-North,928 CONEY ISLAND AVENUE,0,1,1,9033,1710,1989,2700000,9/29/2016 0:00
3,Flatbush-North,9508 CHURCH AVENUE,0,2,2,8000,6900,1931,2700000,6/7/2017 0:00
4,Flushing-North,147-12 ROOSEVELT AVENUE,1,0,1,7400,2505,1910,2700000,2/15/2017 0:00
3,Canarsie,9002-9012 AVENUE A,0,5,5,6000,4500,1931,2700000,5/12/2017 0:00
2,Crotona Park,1451 PROSPECT AVENUE,27,0,27,5830,20352,1931,2700000,2/15/2017 0:00
3,Flatbush-Central,477 EAST 16TH   STREET,1,0,1,5000,2400,1910,2700000,2/28/2017 0:00
4,Elmhurst,91-01 WHITNEY AVENUE,10,0,10,5000,3420,1931,2700000,6/21/2017 0:00
4,Woodside,39-56 63RD   STREET,0,1,1,4950,4900,1958,2700000,9/21/2016 0:00
3,Ocean Parkway-North,1465 EAST 7TH STREET,1,0,1,3615,3890,1925,2700000,8/10/2017 0:00
3,Flatbush-Central,669 EAST 21ST   STREET,8,0,8,2900,8240,2005,2700000,9/30/2016 0:00
