borough,neighborhood,address,residential_unit,commercial_unit,total_unit,land_sq_ft,gross_sq_ft,year_built,price,sale_date
2,Kingsbridge Hts/Univ Hts,100 WEST KINGSBRIDGE RD,0,1,1,51944,235297,1975,0,9/8/2016 0:00
3,Flatlands,1673 EAST 48TH   STREET,2,0,2,2500,2010,1920,25000,1/9/2017 0:00
4,Hollis,108-40 DUNKIRK STREET,0,1,1,50250,38500,1951,0,5/24/2017 0:00
3,Red Hook,44 FERRIS STREET,0,1,1,50000,0,1931,0,5/1/2017 0:00
2,Hunts Point,1281 VIELE AVE,0,1,1,50000,40000,1948,0,8/4/2017 0:00
3,Williamsburg-North,55 WYTHE AVENUE,0,184,184,50000,185141,2014,0,2/27/2017 0:00
3,Gowanus,186 BUTLER STREET,3,0,3,2500,3750,1899,25000,2/28/2017 0:00
3,Brownsville,622 CHESTER STREET,3,4,7,2500,3800,1930,25000,3/13/2017 0:00
2,Soundview,1249 LELAND AVENUE,6,0,6,2500,5850,1928,25000,10/24/2016 0:00
3,Park Slope South,375 13TH STREET,8,0,8,2500,6000,1931,25000,2/28/2017 0:00
4,Douglaston,38-50 233RD   STREET,1,0,1,49427,5863,2006,0,10/19/2016 0:00
4,Long Island City,3620 STEINWAY STREET,0,1,1,49412,5300,1931,0,11/30/2016 0:00
4,Long Island City,42-11 9TH STREET,0,1,1,49400,105000,1939,0,5/10/2017 0:00
3,Downtown-Metrotech,339 BRIDGE STREET,0,4,4,49122,457966,1990,1,3/15/2017 0:00
3,Williamsburg-East,12 REWE STREET,0,1,1,48272,27650,1957,0,9/26/2016 0:00
3,Williamsburg-East,12 REWE STREET,0,1,1,48272,27650,1957,0,9/15/2016 0:00
3,Williamsburg-North,156 NORTH 4TH   STREET,34,8,42,47508,54678,1930,0,11/3/2016 0:00
5,Tottenville,7558 AMBOY ROAD,0,0,0,47500,3525,1931,0,11/4/2016 0:00
5,Tottenville,7558 AMBOY ROAD,0,0,0,47500,3525,1931,0,11/4/2016 0:00
4,Rockaway Park,318F BEACH 101 STREET,44,0,44,47500,17896,1930,0,6/15/2017 0:00
4,Rockaway Park,320A BEACH 101 STREET,44,0,44,47500,17896,1930,0,6/15/2017 0:00
4,Rockaway Park,318D BEACH 101 STREET,44,0,44,47500,17896,1930,0,6/15/2017 0:00
4,Rockaway Park,318F BEACH 101 STREET,44,0,44,47500,17896,1930,0,6/15/2017 0:00
3,East New York,677 ESSEX ST,3,0,3,2433,2320,1930,25000,11/17/2016 0:00
5,Todt Hill,N/A MILFORD DRIVE,0,1,1,46730,51273,1965,0,12/9/2016 0:00
1,Midtown Cbd,485 LEXINGTON AVENUE,0,30,30,46141,743789,1957,0,1/11/2017 0:00
4,South Jamaica,169-04 104TH   AVENUE,1,0,1,2266,1216,1920,25000,10/19/2016 0:00
3,Mill Basin,2170 MILL AVENUE,0,1,1,46000,7800,1950,0,11/7/2016 0:00
5,Stapleton,593 BAY STREET,2,1,3,2237,4144,1931,25000,2/28/2017 0:00
4,South Jamaica,164-14 109TH AVE,1,0,1,2208,1052,1925,25000,8/18/2017 0:00
2,Soundview,422 TAYLOR AVENUE,0,0,0,2108,0,0,25000,10/31/2016 0:00
2,Kingsbridge Hts/Univ Hts,170 WEST KINGSBRIDGE RD,91,0,91,44625,98000,1973,0,8/15/2017 0:00
4,Arverne,350 BEACH 54 STREET,0,1,1,44000,67161,1973,0,9/29/2016 0:00
4,Queens Village,89-31 PONTIAC STREET,3,0,3,2067,3168,1975,25000,10/26/2016 0:00
3,Sunset Park,546 57TH STREET,2,0,2,2003,1922,1910,25000,4/6/2017 0:00
3,East New York,SHEPHERD AVENUE,1,0,1,2000,0,1950,25000,4/4/2017 0:00
3,East New York,841 ELDERT LANE,0,0,0,43425,0,0,0,4/3/2017 0:00
3,Gowanus,42 12TH   STREET,0,0,0,42912,0,0,0,10/6/2016 0:00
2,Pelham Parkway South,1410 PELHAM PARKWAY SOUTH,0,0,0,42855,120650,1965,0,9/21/2016 0:00
3,Red Hook,62A SULLIVAN STREET,1,0,1,2000,360,1940,25000,2/28/2017 0:00
3,Flatbush-Central,95 LINDEN BLVD,120,0,120,42750,139808,1927,0,5/15/2017 0:00
3,Williamsburg-North,33 NORTH 10 STREET,0,1,1,42300,42300,2001,0,4/19/2017 0:00
3,Williamsburg-North,33 NORTH 10 STREET,0,1,1,42300,42300,2001,0,4/19/2017 0:00
4,Jackson Heights,30-06 83RD   STREET,2,0,2,2000,2080,1930,25000,2/20/2017 0:00
3,Cobble Hill-West,20 CARROLL STREET,3,1,4,2000,2255,1900,25000,2/28/2017 0:00
3,Bedford Stuyvesant,308 CLIFTON PLACE,2,0,2,2000,2700,1899,25000,6/9/2017 0:00
4,Jamaica Estates,86-68 MIDLAND PARKWAY,3,0,3,2000,3381,2004,25000,1/6/2017 0:00
3,Downtown-Fulton Ferry,20 JAY STREET,0,147,147,41400,460000,1911,0,9/1/2016 0:00
